1,Unidad,1.0000000000,x1
2,Docena,12.0000000000,x12
3,Gramos,1.0000000000,g.
4,Kilogramos,1000.0000000000000,Kg.
5,Toneladas,1000000.0000000000,Tn.
6,Mililitros,1.0000000000,ml.
7,Litros,1000.00000000000,Lts.
8,Botella,1.0000000000,botella
9,Pack 12,12.000000000,x Pack
10,Cajon,12.0000000000,x Cajon
11,Raya,50.000000000,.raya
