1,Efectivo,efectivo
2,MasterCard,mastercard
3,Visa,visa
4,American Express,amex
5,Cabal,cabal
6,Panal,panal
7,Dolar,dolar
8,Publicidad,publicidad
9,Cheque,cheque
10,Debito,debito
11,Credito,credito
